"";"aluno";"ano.defesa";"programa";"titul";"titul.2";"prazo.dep";"tempo.dep";"tempo.def";"avaliador";"estrato";"estrato.n";"impacto";"impacto.n";"nota.tese";"redacao";"contextualiz";"objetivos";"hip.claras";"originalidade";"metodos";"analises";"resultados";"discussao";"literatura"
"652";240;2013;"Gen";"Doutorado";"Doutorado";54;52.9333333333333;54.9333333333333;"Externo";"50%";5;"medio";3;6;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE
"555";260;2013;"Gen";"Doutorado";"Doutorado";48;48.2666666666667;49.7333333333333;"Interno";"50%";5;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"556";260;2013;"Gen";"Doutorado";"Doutorado";48;48.2666666666667;49.7333333333333;"Orientador";"10%";2;"alto";4;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"558";260;2013;"Gen";"Doutorado";"Doutorado";48;48.2666666666667;49.7333333333333;"Externo";"25%";3;"medio";3;7;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE
"559";260;2013;"Gen";"Doutorado";"Doutorado";48;48.2666666666667;49.7333333333333;"Interno";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"506";346;2013;"Gen";"Doutorado";"Doutorado";48;48.6666666666667;52.7;"Externo";"25%";3;"alto";4;8;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
"507";346;2013;"Gen";"Doutorado";"Doutorado";48;48.6666666666667;52.7;"Interno";"25%";3;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"508";346;2013;"Gen";"Doutorado";"Doutorado";48;48.6666666666667;52.7;"Externo";"10%";2;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"509";346;2013;"Gen";"Doutorado";"Doutorado";48;48.6666666666667;52.7;"Externo";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"756";8;2013;"Gen";"Doutorado direto";"Doutorado";NA;NA;NA;"Orientador";"<50%";4;"medio";3;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
"757";8;2013;"Gen";"Doutorado direto";"Doutorado";NA;NA;NA;"Externo";"<50%";4;"nao public";1;1;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
"758";8;2013;"Gen";"Doutorado direto";"Doutorado";NA;NA;NA;"Externo";"<50%";4;"baixo";2;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"759";8;2013;"Gen";"Doutorado direto";"Doutorado";NA;NA;NA;"Interno";"<50%";4;NA;NA;2;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
"760";8;2013;"Gen";"Doutorado direto";"Doutorado";NA;NA;NA;"Interno";"<50%";4;NA;NA;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"436";102;2013;"Gen";"Doutorado direto";"Doutorado";60;63.8666666666667;66.7333333333333;"Interno";"10%";2;"alto";4;9;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"437";102;2013;"Gen";"Doutorado direto";"Doutorado";60;63.8666666666667;66.7333333333333;"Interno";"25%";3;"medio";3;6;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
"438";102;2013;"Gen";"Doutorado direto";"Doutorado";60;63.8666666666667;66.7333333333333;"Orientador";"10%";2;"medio";3;7;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE
"439";102;2013;"Gen";"Doutorado direto";"Doutorado";60;63.8666666666667;66.7333333333333;"Externo";"10%";2;"medio";3;9;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
